site_name,site_abbreviation,building_name,building_abbreviation,building_number,address,floors,gross_square_feet,occupied_since,building_image_urls
Pickle Research Campus,PRC,ARL STORAGE PRC 189),A16,0197,"2810 READ GRANBERRY TRL, AUSTIN, TX 78758",1,406.0,1997,nan
Pickle Research Campus,PRC,ARL MCKINNEY WING PRC 190),A17,0198,"2800 READ GRANBERRY TRL, AUSTIN, TX 78758",2,41153.0,2000,nan
Pickle Research Campus,PRC,ARL ASSEMBLY & TEST. BLDG.PRC 193),A18,0199,"2926 INNOVATION BLVD, AUSTIN, TX 78758",2,18647.0,2001,nan
Pickle Research Campus,PRC,ARL RESEARCH LAB TRAILER PRC 194),A19,0200,"2908 READ GRANBERRY TRL, AUSTIN, TX 78758",1,592.0,2002,nan
Pickle Research Campus,PRC,ARL CHEMICAL STORAGE BLDG PRC 200),A21,0203,"10125 HARRY RANSOM TRL, AUSTIN, TX 78758",1,187.0,2008,nan
Pickle Research Campus,PRC,ARL NORTH STORAGE BLDG PRC 203),A22,0831,"9951 HARRY RANSOM TRL, AUSTIN, TX 78758",2,17821.0,2012,nan
Pickle Research Campus,PRC,ARL SYS INTEGRATION BLDG PRC 207),A23,0205,"2926 READ GRANBERRY TRL, AUSTIN, TX 78758",2,51434.0,2020,nan
Pickle Research Campus,PRC,ARL CHILLING PLANT PRC 209),A25,0206,"10133 HARRY RANSOM TRL, AUSTIN, TX 78758",1,1.0,2020,nan
Pickle Research Campus,PRC,ADVANCED COMPUTING BUILDING 205),ACB,0784,"10505 EXPLORATION WAY, AUSTIN, TX 78758",3,47525.0,2016,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ACB/100536835_400.jpg
Pickle Research Campus,PRC,ARL MODULAR BLDG. T-500 PRC 184),AM2,0830,"2812 READ GRANBERRY TRL, AUSTIN, TX 78758",1,10734.0,1994,nan
Pickle Research Campus,PRC,ARL MAIN BUILDING PRC 35),ARL,0190,"10000 BURNET RD, AUSTIN, TX 78758",1,110923.0,1967,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ARL/100479743_400.jpg
Pickle Research Campus,PRC,EXPL.SHOCK EQUIP. SHELTER PRC 123),AS1,0970,"3221 CLYDE DAVIS TRL, AUSTIN, TX 78758",1,260.0,1971,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS1/100479765_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS1/100479768_400.jpg
Pickle Research Campus,PRC,SUB-SONIC WIND TUNNEL PRC 124),AS2,0971,"3217 CLYDE DAVIS TRL, AUSTIN, TX 78758",1,2462.0,1973,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS2/100479769_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS2/100479760_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS2/100479764_400.jpg
Pickle Research Campus,PRC,EXPLOSIVE SHOCK MECHANICS PRC 7A),AS3,0810,"3223 CLYDE DAVIS TRL, AUSTIN, TX 78758",1,1214.0,1949,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS3/100479767_400.jpg
Pickle Research Campus,PRC,AERO ENGR TEST FAC PRC 124A),AS4,0976,"3219 CLYDE DAVIS TRL, AUSTIN, TX 78758",1,1700.0,2009,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS4/100479766_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/AS4/100479763_400.jpg
Pickle Research Campus,PRC,EXPERIMENTAL AERODYNAMICS PRC 7),ASR,0809,"3215 CLYDE DAVIS TRL, AUSTIN, TX 78758",1,5124.0,1949,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ASR/100479762_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ASR/100479770_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/ASR/100479761_400.jpg
Pickle Research Campus,PRC,ARL TRAILER 2A PRC 164),AT3,0192,"2816 READ GRANBERRY TRL, AUSTIN, TX 78758",1,720.0,1980,nan
Pickle Research Campus,PRC,ARL TRAILER 2B PRC 165),AT4,0189,"2818 READ GRANBERRY TRL, AUSTIN, TX 78758",1,720.0,1994,nan
Pickle Research Campus,PRC,BEG LAB BLDG PRC 131),BE1,0765,"10901 CREATIVITY TRL, AUSTIN, TX 78758",2,36545.0,1985,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BE1/100479745_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BE1/100479744_400.jpg
Pickle Research Campus,PRC,BEG. REPOSITORY PRC 132),BE2,0760,"10903 CREATIVITY TRL, AUSTIN, TX 78758",1,97360.0,1985,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BE2/100479740_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BE2/100479796_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BE2/100479790_400.jpg
Pickle Research Campus,PRC,BEG CORE RESEARCH BLDG PRC 206),BE3,0755,"10905 CREATIVITY TRL, AUSTIN, TX 78758",2,15520.0,2019,nan
Pickle Research Campus,PRC,BEG MAIN BLDG PRC 130),BEG,0764,"10611 EXPLORATION WAY, AUSTIN, TX 78758",3,153749.0,1984,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEG/100480009_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BEG/100480007_400.jpg
Pickle Research Campus,PRC,OEHS STORAGE BLDG. A PRC 146),BS1,0919,"10805 CREATIVITY TRL, AUSTIN, TX 78758",1,376.0,1981,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS1/100479785_400.jpg
Pickle Research Campus,PRC,OEHS STORAGE BUILDING B PRC 148),BS2,0920,"10809 CREATIVITY TRL, AUSTIN, TX 78758",1,374.0,1976,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS2/100479789_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS2/100479783_400.jpg
Pickle Research Campus,PRC,RADIOACTIVE MATERIALS STG.PRC 175),BS3,0931,"10807 CREATIVITY TRL, AUSTIN, TX 78758",1,925.0,1991,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS3/100479784_400.jpg
Pickle Research Campus,PRC,HAZARD.MTRLS.TRANSFER BLDG.PRC183),BS4,0932,"10801 CREATIVITY TRL, AUSTIN, TX 78758",1,2518.0,1994,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS4/100479786_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS4/100479787_400.jpg
Pickle Research Campus,PRC,OEHS STORAGE BLDG C PRC 204),BS5,0918,"10737 CREATIVITY TRL, AUSTIN, TX 78758",1,700.0,2015,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/BS5/100536837_400.jpg
Pickle Research Campus,PRC,PRC CHILLING PLANT 1A PRC 129A),C1A,0799,"3117 1/2 CLYDE DAVIS TRL, AUSTIN, TX 78758",1,1.0,2018,nan
Pickle Research Campus,PRC,CMRG CHEMICAL STG BLDG PRC 186),CM1,0883,"10212 E H SELLARDS RD, AUSTIN, TX 78758",1,206.0,1996,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CM1/100480026_400.jpg
Pickle Research Campus,PRC,CMRG CONCRETE DURABIL. CTR.PRC 26),CM2,0937,"10220 E H SELLARDS RD, AUSTIN, TX 78758",1,1599.0,1949,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CM2/100480048_400.jpg
Pickle Research Campus,PRC,CMRG-CONST.MATRLS.RES.GRP.PRC 26A),CM3,0938,"10228 E H SELLARDS RD, AUSTIN, TX 78758",1,363.0,1949,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CM3/100480018_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CM3/100480035_400.jpg
Pickle Research Campus,PRC,CMRG - RESEARCH OFFICES PRC 201),CM4,0939,"10211 E H SELLARDS RD, AUSTIN, TX 78758",1,2883.0,2009,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CM4/100480014_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CM4/100480053_400.jpg
Pickle Research Campus,PRC,CMRG CONCRETE DURABIL. CTR.PRC18B),CMR,0882,"10210 E H SELLARDS RD, AUSTIN, TX 78758",3,12887.0,1949,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CMR/100480028_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CMR/100480058_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CMR/100480062_400.jpg
Pickle Research Campus,PRC,PRC - CNTRL.CHILLING STN. PRC 129),CP1,0768,"3131 CLYDE DAVIS TRL, AUSTIN, TX 78758",2,16513.0,1984,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CP1/100479756_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/CP1/100479758_400.jpg
